Rep,Day,Temperature,Fungus,Plant,Height,Hairs,Fungus One:,Fungus Two:
A,7,22,939,1,0.8,6,0.5,0.4
A,7,22,939,2,0.9,3,0.5,0.4
A,7,22,939,3,0.8,4,0.5,0.4
A,7,22,939,4,1.3,6,0.5,0.4
A,7,22,939,5,1.4,8,0.5,0.4
A,7,22,939,1,1.7,6,0.5,0.5
A,7,22,939,2,1.5,8,0.5,0.5
A,7,22,939,3,1.7,5,0.5,0.5
A,7,22,939,4,1.7,5,0.5,0.5
A,7,22,939,5,1.8,9,0.5,0.5
A,7,22,23,1,2.6,15,1,0.8
A,7,22,23,2,2,7,1,0.8
A,7,22,23,3,2.4,9,1,0.8
A,7,22,23,4,2.2,9,1,0.8
A,7,22,23,5,2.2,7,1,0.8
A,7,22,2575,1,1.9,9,1.2,1.2
A,7,22,2575,2,1.3,5,1.2,1.2
A,7,22,2575,3,NA,NA,1.2,1.2
A,7,22,2575,4,1.4,15,1.2,1.2
A,7,22,2575,5,1.3,6,1.2,1.2
A,7,22,2575,1,2.1,8,1.2,1.7
A,7,22,2575,2,NA,NA,1.2,1.7
A,7,22,2575,3,2.3,11,1.2,1.7
A,7,22,2575,4,2.3,10,1.2,1.7
A,7,22,2575,5,1.8,13,1.2,1.7
